Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
23:17:43:12.116,61,0.0000000000,0.0000000000,0.0000000000,0.0026290398,0.1233879179,0.0182453170,0.2355823964,0.0000000000,0.0000000000,0.0730803385,0.0000000000,0.1230128035,0.0182384532,0.2355136275,0.0000000000,0.0009665358,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0373421758,0.0289919376,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007732167,0.0082770297,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0240691695,0.0240189638,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000026,0.0366691649,-0.0299500935,-0.0010658540,-0.0422538556,-0.0794807300,0.0047666850,-0.0490211584,-0.0794650614,-0.0011285499
23:17:43:13.118,61,0.0000000000,0.0000000000,0.0000000000,0.0094249854,0.1196755767,0.0178527981,0.2331259698,0.0000000000,0.0000000000,0.0800477192,0.0000000000,0.1192761436,0.0178460032,0.2330661267,0.0000000000,0.0010346690,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0367195234,0.0285882354,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008609963,0.0084325783,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0246152207,0.0245655291,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0349450782,-0.0273508690,-0.0029975399,-0.0462923013,-0.0778618455,0.0048576901,-0.0531670451,-0.0778460354,-0.0009144634
23:17:43:14.120,61,0.0000000000,0.0000000000,0.0000000000,0.0220832583,0.1175849885,0.0175320208,0.2306910604,0.0000000000,0.0000000000,0.0931387916,0.0000000000,0.1171281859,0.0175253116,0.2306396514,0.0000000000,0.0011064551,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0361721404,0.0281937048,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0009394993,0.0085777342,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0251924060,0.0251441859,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0325366929,-0.0254044458,-0.0045456700,-0.0538723432,-0.0769535452,0.0051748920,-0.0608896390,-0.0769376457,-0.0005231191
23:17:43:15.121,61,0.0000000000,0.0000000000,0.0000000000,0.0295804124,0.1180950701,0.0172007401,0.2273707390,0.0000000000,0.0000000000,0.1009051353,0.0000000000,0.1175986528,0.0171941407,0.2273266762,0.0000000000,0.0011550202,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0354793817,0.0276883617,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0009356892,0.0086476551,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0258407891,0.0257940348,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0300558135,-0.0243731290,-0.0054509193,-0.0583660640,-0.0771798939,0.0054250397,-0.0654631555,-0.0771639571,-0.0002841772
23:17:43:16.122,61,0.0000000000,0.0000000000,0.0000000000,0.0352464020,0.1139338464,0.0167196840,0.2245466262,0.0000000000,0.0000000000,0.1067765802,0.0000000000,0.1134262234,0.0167131852,0.2245017886,0.0000000000,0.0012358411,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0348302275,0.0270796251,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008860027,0.0087096412,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0265380964,0.0264919493,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0281637590,-0.0232296139,-0.0061277542,-0.0617726110,-0.0753674805,0.0054309862,-0.0689217001,-0.0753513873,-0.0001448863
23:17:43:17.124,61,0.0000000000,0.0000000000,0.0000000000,0.0344554745,0.1106149182,0.0162036419,0.2106653303,0.0000000000,0.0000000000,0.1059668362,0.0000000000,0.1101250574,0.0161972437,0.2106115818,0.0000000000,0.0013359608,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0344366878,0.0265992470,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007968362,0.0087474454,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0269130692,0.0268677790,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0263427291,-0.0225267336,-0.0060933288,-0.0613104664,-0.0739187151,0.0052737137,-0.0684406310,-0.0739023909,-0.0001993545
23:17:43:18.126,61,0.0000000000,0.0000000000,0.0000000000,0.0350031219,0.0978804380,0.0157477912,0.1725010574,0.0000000000,0.0000000000,0.1066563055,0.0000000000,0.0974405780,0.0157415569,0.1724507064,0.0000000000,0.0014291311,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0342886969,0.0263546240,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008259465,0.0088283522,0.0000000000,0.0001266591,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0267358627,0.0266925581,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0256848615,-0.0212307870,-0.0055992249,-0.0617329665,-0.0683618486,0.0047764252,-0.0687801838,-0.0683450103,-0.0003019112
23:17:43:19.128,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0029022181,0.1163720563,0.0000000000,0.0000000000,0.0505282767,0.0000000000,0.0000000000,0.0028956602,0.1163220108,0.0000000000,0.0015717727,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0344073661,0.0266094208,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004409208,0.0088047646,0.0000000000,0.0000048258,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0277526807,0.0277203750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0257880129,-0.0190537348,-0.0048637241,-0.0292806290,-0.0068364833,-0.0003361926,-0.0348791219,-0.0068135578,-0.0009790618
23:17:43:20.129,61,0.0000000000,0.0593843386,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0625970960,0.0000000000,0.0592911914,0.0151553340,0.0000000000,0.0000000000,0.0000000000,0.0625551939,0.0000000000,0.0016206561,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0346104242,0.0269926321,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001243550,0.0089167329,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0297069531,0.0296867881,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0262959804,-0.0163724348,-0.0030374918,-0.0087196752,0.0347341821,-0.0016180382,-0.0135814622,0.0347615108,0.0008304251
23:17:43:21.130,61,0.0395206660,0.1128329337,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0396266393,0.1128044203,0.0037299921,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0015433996,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0347217210,0.0274351835,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001439359,0.0092597026,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0367446765,0.0367375426,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0269596167,-0.0116130225,-0.0003967024,-0.0020310245,0.0660537630,-0.0022655269,-0.0068376176,0.0660843104,0.0025160844
23:17:43:22.132,61,0.0507616028,0.1244107187,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0508877337,0.1243813485,0.0041940184,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0013414540,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0342907794,0.0273503717,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000808201,0.0095404182,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0421014540,0.0420974642,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0271356031,-0.0058061182,0.0020291284,-0.0022770576,0.0728334188,-0.0025182003,-0.0071693733,0.0728647411,0.0027609034
