Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
23:15:45:26.937,61,0,0.055897884,0.613181949,0,0,0.072070383,0.103683665,0,0.058101378,0,0.546061993,0,0.072410852,0.092109717,0,0.012555169,0,0,0,0,0,0,0.020642024,0,0,0.073420078,0.091946952,0,0,0,0,0,0,0.005717482,0.019959038,0.00229843,0.010506844,0,0,0,0,0,0,0,0,0,0.008950214,0,0,0,0,0,-0.392236769,0.009217232,0.012978119,0.364311308,0.037460078,0.021459244,0.344797641,0.037484437,0.022935836
23:15:45:27.939,61,0.005402079,0.090245247,0.6365363,0,0,0.068333931,0.07579995,0.006541591,0.093310051,0,0.568842709,0,0.068826988,0.067053773,0,0.012644693,0,0,0,0,0,0,0.023016285,0,0,0.072503246,0.092059441,0,0,0,0,0,0,0.005165194,0.02014102,0.002471777,0.010825045,0,0,0,0,0,0,0,0,0,0.009445112,0,0,0,0,0,-0.415450066,0.012291882,0.009323196,0.377677977,0.059671659,0.029832084,0.35733971,0.059697986,0.032454629
23:15:45:28.941,61,0.02647379,0.12168543,0.578881621,0,0,0.063811824,0.033049241,0.032219488,0.125244632,0,0.511644185,0,0.064411879,0.025371447,0,0.012709694,0,0,0,0,0,0,0.025152896,0,0,0.070146427,0.091744162,0,0,0,0,0,0,0.004873749,0.020386905,0.002743818,0.011291561,0,0,0,0,0,0,0,0,0,0.010084885,0,0,0,0,0,-0.436724901,0.01630497,0.005875304,0.342322916,0.07828486,0.032713864,0.324340969,0.078312889,0.036660034
23:15:45:29.942,61,0.036649898,0.12352448,0.543132067,0,0,0.062245376,0.010344144,0.04405253,0.126947582,0,0.476823419,0,0.062921718,0.003050223,0,0.012817561,0,0,0,0,0,0,0.026833125,0,0,0.062793851,0.08953578,0,0,0,0,0,0,0.004605581,0.020512177,0.003087146,0.011895732,0,0,0,0,0,0,0,0,0,0.011079235,0,0,0,0,0,-0.454578102,0.019640662,0.001895586,0.321136504,0.078642905,0.030708008,0.304267883,0.078670859,0.034828793
23:15:45:30.945,61,0.042013828,0.109243825,0.448830366,0,0,0.061908852,0,0.050305855,0.111924015,0,0.38498193,0,0.062697113,0,0,0.013126702,0,0,0,0,0,0,0.028421763,0,0,0.060677365,0.08885327,0,0,0,0,0,0,0.004915481,0.020920398,0.003655069,0.014293948,0,0,0,0,0,0,0,0,0,0.014785505,0,0,0,0,0,-0.472808391,0.020118062,-0.004074091,0.265534818,0.068052352,0.022610495,0.251660824,0.068079166,0.026468556
23:15:45:31.946,61,0.04490754,0.096442714,0.347978532,0,0,0.063165501,0,0.053608399,0.098415196,0,0.28708151,0,0.064758509,0,0,0.013619984,0,0,0,0,0,0,0.030745573,0,0,0.060515214,0.088710189,0,0,0,0,0,0,0.008308507,0.022888169,0.004771737,0.017990319,0,0,0,0,0,0,0,0,0,0.018084966,0,0,0,0,0,-0.492224574,0.021704584,-0.009666184,0.206111878,0.058872189,0.015536108,0.19524239,0.058897987,0.019140814
23:15:45:32.947,61,0.047546495,0.085261725,0.191203743,0,0,0.066121198,0,0.057472732,0.086309664,0,0.136454076,0,0.069331892,0,0,0.014296806,0,0,0,0,0.007705191,0,0.03731047,0,0,0.073306166,0.089076839,0,0,0,0,0,0,0.021725986,0.029546127,0.007043342,0.022827437,0,0,0,0,0,0,0,0,0,0.023090854,0,0,0,0,0,-0.509163797,0.023111638,-0.014723081,0.114470094,0.050761621,0.00716132,0.107300326,0.05078657,0.010582862
23:15:45:33.949,61,0.05281204,0.094859496,0.211476699,0,0,0.074806482,0,0.068327464,0.096096262,0,0.156260654,0,0.081529044,0,0,0.015699221,0,0,0,0,0.070762798,0,0.0520037,0,0,0.09318392,0.090618394,0,0,0,0,0,0,0.072118923,0.056530003,0.017520675,0.041233327,0,0,0,0,0,0.006430733,0,0,0,0.043238312,0,0,0,0,0,-0.52681303,0.022171635,-0.016822159,0.126490623,0.056597386,0.008635856,0.118615508,0.056622922,0.012408444
23:15:45:34.950,61,0.056150094,0.088789523,0.256528944,0,0,0.084571101,0,0.073611245,0.090197496,0,0.19963643,0,0.09488789,0,0,0.017672623,0,0,0,0,0.073887318,0,0.059938043,0,0,0.103265993,0.091914259,0,0,0,0,0,0,0.083772153,0.06398835,0.020917812,0.046766799,0,0,0,0,0,0.01517896,0,0,0,0.049231473,0,0,0,0,0,-0.541822076,0.021616938,-0.016798552,0.152931392,0.053356972,0.010407204,0.143967927,0.053382292,0.013844297
23:15:45:35.952,61,0.057922848,0.07753437,0.251257986,0,0,0.092545055,0,0.076227635,0.078790866,0,0.194921047,0,0.105861895,0,0,0.019414801,0,0,0,0,0.038611271,0,0.063483574,0,0,0.107440613,0.092649847,0,0,0,0,0,0,0.079447739,0.067437731,0.022761878,0.049480766,0,0,0,0,0.00283613,0.019533098,0,0,0,0.052147131,0,0,0,0,0,-0.556236386,0.021564886,-0.01749102,0.150119856,0.046607111,0.009381925,0.141100854,0.04663191,0.012349372
23:15:45:36.953,61,0.059210893,0.075806931,0.274185062,0,0,0.099473201,0,0.077953219,0.077146389,0,0.217111722,0,0.115392402,0,0,0.021063039,0,0,0,0,0.030425035,0,0.065034963,0,0,0.109489933,0.095029883,0,0,0,0,0,0,0.072518587,0.067499802,0.023699125,0.050602824,0,0,0,0,0.004933286,0.022083735,0,0,0,0.053519879,0,0,0,0,0,-0.567729771,0.019838251,-0.01821816,0.163649052,0.045759905,0.010241239,0.153999463,0.045784541,0.013094797
23:15:45:37.955,61,0.060298573,0.068792276,0.264546633,0,0,0.106483847,0,0.079487205,0.070009314,0,0.207848519,0,0.126259819,0,0,0.02309328,0,0,0,0,0.026340433,0,0.065459095,0,0,0.110628568,0.101324126,0,0,0,0,0,0,0.070118278,0.067253798,0.024268787,0.051009841,0,0,0,0,0.006347015,0.023627412,0,0,0,0.054301303,0,0,0,0,0,-0.579582572,0.020223364,-0.020495437,0.158041522,0.041497048,0.009302311,0.148638129,0.041521311,0.011884578
23:15:45:38.956,61,0.061685935,0.078772776,0.277072668,0,0,0.113864422,0,0.082148753,0.080161162,0,0.219752491,0,0.137429953,0,0,0.025149507,0,0,0,0,0.021782387,0,0.060577013,0,0,0.110804148,0.104706653,0,0,0,0,0,0,0.064031318,0.064558797,0.0244524,0.050801151,0,0,0,0,0.007490892,0.024683388,0,0,0,0.054317143,0,0,0,0,0,-0.591021776,0.019236838,-0.021550037,0.165241048,0.047555465,0.01059503,0.155596927,0.047580354,0.013570618
23:15:45:39.958,61,0.062648185,0.069818221,0.271231473,0,0,0.119367681,0,0.083721779,0.071075693,0,0.214241281,0,0.146244571,0,0,0.027378876,0,0,0,0,0.019623935,0,0.057747971,0,0,0.110724151,0.107252859,0,0,0,0,0,0,0.061693486,0.063315697,0.024523705,0.050406396,0,0,0,0,0.00849707,0.025498373,0,0,0,0.054135252,0,0,0,0,0,-0.60173893,0.01913714,-0.023624104,0.161932334,0.042160351,0.009648573,0.152388051,0.042184614,0.012264015
23:15:45:40.960,61,0.06410595,0.08012788,0.347543955,0,0,0.126195237,0,0.087183811,0.081849225,0,0.287680358,0,0.157184437,0,0,0.029531363,0,0,0,0,0.023174752,0,0.056104105,0,0,0.110626221,0.108947173,0,0,0,0,0,0,0.060884111,0.062781386,0.024747685,0.050231315,0,0,0,0,0.013509553,0.029431602,0,0,0,0.054130733,0,0,0,0,0,-0.61028564,0.01979728,-0.023583189,0.206611186,0.049033199,0.013851655,0.19518128,0.049058326,0.016757855
23:15:45:41.961,61,0.066285394,0.073705532,0.350014091,0,0,0.135698691,0,0.093453489,0.075344652,0,0.290098757,0,0.171777591,0,0,0.030985491,0,0,0,0,0.084368736,0,0.055262897,0,0,0.11111398,0.113879085,0,0,0,0,0,0,0.064532422,0.06276492,0.025249358,0.050463185,0,0,0,0,0.016717996,0.03285538,0,0,0,0.055909842,0,0,0.002438438,0,0,-0.617910862,0.020523086,-0.024523255,0.208133161,0.045186285,0.013283781,0.196635351,0.045211159,0.015929146
