Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
23:15:55:42.913,61,0.0000000000,0.0823115706,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1039987132,0.0000000000,0.0820959061,0.0394844934,0.0000000000,0.0000000000,0.0000000000,0.1040464118,0.0000000000,0.0039464273,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0044925692,0.0057836608,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000023708,-0.0340709724,0.0054485155,0.0216006041,-0.0227441229,0.0481395163,-0.0031932830,-0.0260750465,0.0481622815,0.0003626129
23:15:55:43.914,61,0.0000000000,0.0799463913,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1032036543,0.0000000000,0.0797307342,0.0400567092,0.0000000000,0.0000000000,0.0000000000,0.1032493785,0.0000000000,0.0039074384,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0044846856,0.0057916548,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000021974,-0.0342959128,0.0048950501,0.0218437165,-0.0230803192,0.0467546619,-0.0031423490,-0.0263767205,0.0467772484,0.0003110206
23:15:55:44.916,61,0.0000000000,0.0771449283,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1027166843,0.0000000000,0.0769296438,0.0406349339,0.0000000000,0.0000000000,0.0000000000,0.1027613506,0.0000000000,0.0038753783,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0043992945,0.0057630516,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000011661,-0.0350837298,0.0034418283,0.0221722368,-0.0234209634,0.0451142900,-0.0030767506,-0.0267087482,0.0451367944,0.0002527999
23:15:55:45.918,61,0.0000000000,0.0759150833,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1022823229,0.0000000000,0.0757025555,0.0404381566,0.0000000000,0.0000000000,0.0000000000,0.1023263112,0.0000000000,0.0038544268,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0044050245,0.0057895309,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000006303,-0.0352865569,0.0016568946,0.0222133659,-0.0233099833,0.0443946682,-0.0030293791,-0.0266007707,0.0444170088,0.0002453950
23:15:55:46.919,61,0.0000000000,0.0748398453,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1020886898,0.0000000000,0.0746312886,0.0399570689,0.0000000000,0.0000000000,0.0000000000,0.1021325216,0.0000000000,0.0038730253,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0044698832,0.0058056498,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000009076,-0.0353731327,0.0005256329,0.0218393058,-0.0230342597,0.0437657647,-0.0029757037,-0.0263297427,0.0437879637,0.0002510768
23:15:55:47.921,61,0.0000000000,0.0743247196,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1017564088,0.0000000000,0.0741189793,0.0395247750,0.0000000000,0.0000000000,0.0000000000,0.1018005982,0.0000000000,0.0038653580,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0045007626,0.0058024419,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000020977,-0.0348488614,-0.0001101550,0.0212248638,-0.0227854773,0.0434645750,-0.0029420524,-0.0260850620,0.0434867591,0.0002616295
23:15:55:48.922,61,0.0000000000,0.0737299770,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1012906283,0.0000000000,0.0735258088,0.0393372774,0.0000000000,0.0000000000,0.0000000000,0.1013355479,0.0000000000,0.0038360262,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0045173429,0.0058348300,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000036584,-0.0340304784,0.0001214333,0.0205608010,-0.0226783752,0.0431165136,-0.0029157607,-0.0259805769,0.0431387499,0.0002613651
23:15:55:49.924,61,0.0000000000,0.0727584064,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1006715894,0.0000000000,0.0725588426,0.0386480689,0.0000000000,0.0000000000,0.0000000000,0.1007175520,0.0000000000,0.0038075745,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0045755487,0.0058575221,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000099782,-0.0334429964,0.0006047385,0.0201819614,-0.0222820081,0.0425483324,-0.0028578914,-0.0255868677,0.0425705761,0.0002760139
23:15:55:50.925,61,0.0000000000,0.0714281499,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0995544419,0.0000000000,0.0712309107,0.0385046601,0.0000000000,0.0000000000,0.0000000000,0.0996014699,0.0000000000,0.0037596754,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0045899786,0.0058664535,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000162635,-0.0328833312,0.0011317823,0.0203014538,-0.0222019218,0.0417697988,-0.0028105585,-0.0255246013,0.0417919159,0.0002631418
23:15:55:51.928,61,0.0000000000,0.0707270727,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0982381329,0.0000000000,0.0705299750,0.0386345312,0.0000000000,0.0000000000,0.0000000000,0.0982868373,0.0000000000,0.0037200761,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0045726253,0.0058641876,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000239739,-0.0325222388,0.0013637487,0.0206323583,-0.0222784951,0.0413592868,-0.0027936157,-0.0256206132,0.0413813740,0.0002476719
23:15:55:52.929,61,0.0000000000,0.0704315230,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0963149294,0.0000000000,0.0702344105,0.0387418680,0.0000000000,0.0000000000,0.0000000000,0.0963660851,0.0000000000,0.0037037637,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0045383195,0.0058156424,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000309405,-0.0324274823,0.0014833733,0.0211933833,-0.0223411806,0.0411862843,-0.0027884902,-0.0256926063,0.0412082449,0.0002390640
23:15:55:53.930,61,0.0000000000,0.0710228086,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0951426923,0.0000000000,0.0708247274,0.0387521274,0.0000000000,0.0000000000,0.0000000000,0.0951948315,0.0000000000,0.0036938011,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0044934950,0.0057617561,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000349041,-0.0327867754,0.0012713717,0.0214720313,-0.0223458633,0.0415322892,-0.0028074582,-0.0257234164,0.0415543541,0.0002445439
